title,price,link,category,storage,average_price,median_price
iPhone 11 - 64gb 👊,1900,https://www.finn.no/bap/forsale/ad.html?finnkode=371578874,Regular,64GB,1890.70,1950.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=351587432,Regular,Unknown,2029.98,2000.00
iPhone 11 PRO,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=371421841,Pro,Unknown,1964.12,2000.00
Bytte iPhone 14 Pro mot 15 pro,,https://www.finn.no/bap/forsale/ad.html?finnkode=371418464,Pro,Unknown,8044.07,8125.00
iPhone 12 64gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=371409769,Regular,64GB,2477.22,2500.00
iPhone 11 Pro Max,2100,https://www.finn.no/bap/forsale/ad.html?finnkode=371251916,Pro Max,Unknown,2262.44,2000.00
iPhone 12 (knust bakside og frontkamera.,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=371215501,Regular,Unknown,2613.59,2500.00
iPhone 11 64GB Lilla til salgs,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=371174038,Regular,64GB,1890.70,1950.00
iPhone 11 pro Max,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=371133520,Pro Max,Unknown,2262.44,2000.00
iPhone 12 128GB,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=358557474,Regular,128GB,2975.00,2350.00
iPhone 11 pro 64gb,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371023858,Pro,64GB,2077.67,2499.00
iPhone 12,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=370985920,Regular,Unknown,2613.59,2500.00
iPhone 11 Pro 64MB,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=370979466,Pro,Unknown,1964.12,2000.00
iPhone 11 64GB,2100,https://www.finn.no/bap/forsale/ad.html?finnkode=370826796,Regular,64GB,1890.70,1950.00
iPhone 11 pro Max 64gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=370802112,Pro Max,64GB,3190.00,2000.00
iPhone 11 PRO,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=370715822,Pro,Unknown,1964.12,2000.00
iPhone 11 med 128 GB,1800,https://www.finn.no/bap/forsale/ad.html?finnkode=370639975,Regular,128GB,2166.62,2000.00
iPhone 11 128GB,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=370577211,Regular,128GB,2166.62,2000.00
iPhone 11 Pro 64 GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=370516485,Pro,64GB,2077.67,2499.00
iPhone 11 pro Max,1200,https://www.finn.no/bap/forsale/ad.html?finnkode=370510385,Pro Max,Unknown,2262.44,2000.00
iPhone 11 128gb,1700,https://www.finn.no/bap/forsale/ad.html?finnkode=370431427,Regular,128GB,2166.62,2000.00
iPhone 12 Pro Max,1000,https://www.finn.no/bap/forsale/ad.html?finnkode=370390521,Pro Max,Unknown,5453.45,5500.00
iPhone 12,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=370378210,Regular,Unknown,2613.59,2500.00
iPhone 11 128GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=361079312,Regular,128GB,2166.62,2000.00
