title,price,link,category,storage
iPhone 11,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372124851,Regular,Unknown
iPhone 12 (Lilla),2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372115024,Regular,Unknown
iPhone 14pluss,560 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=362582882,Regular,Unknown
iPhone 11,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372042813,Regular,Unknown
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371979644,Regular,Unknown
iPhone 11Pro 64GB gull,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=361377135,Pro,64GB
iPhone 12 deler,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371962102,Regular,Unknown
iPhone 11 selges rimelig,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371946123,Regular,Unknown
iPhone 11 64GB,1 800 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371923129,Regular,64GB
iPhone 12 64GB mørke blå,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371903496,Regular,64GB
iPhone 11pro,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371899762,Regular,Unknown
iPhone 16 Pro deksel,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371902647,Pro,Unknown
iPhone 11,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371881746,Regular,Unknown
iPhone 12,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371892073,Regular,Unknown
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371834432,Regular,Unknown
iPhone 11 hvit,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371793629,Regular,Unknown
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371739247,Regular,Unknown
Diverse deksler til iPhone 15 plus,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371610688,Regular,Unknown
Svart iPhone 11 128GB,1 900 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371600848,Regular,128GB
iPhone 11 fra 2021,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=321672081,Regular,Unknown
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371574369,Regular,Unknown
iPhone 11 - 64gb 👊,1 900 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371578874,Regular,64GB
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=351587432,Regular,Unknown
iPhone 11 PRO,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371421841,Regular,Unknown
iPhone 12 64gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371409769,Regular,64GB
iPhone 11 Pro Max,2 100 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371251916,Pro Max,Unknown
iPhone 12 (knust bakside og frontkamera.,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371215501,Regular,Unknown
iPhone 11 64GB Lilla til salgs,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371174038,Regular,64GB
